Address,Content Type,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keywords 1,Meta Keywords 1 Length,H1-1,H1-1 Length,H1-2,H1-2 Length,H2-1,H2-1 Length,H2-2,H2-2 Length,Meta Robots 1,X-Robots-Tag 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1",amphtml Link Element,Size (bytes),Transferred (bytes),Word Count,Sentence Count,Average Words Per Sentence,Flesch Reading Ease Score,Readability,Text Ratio,Crawl Depth,Folder Depth,Link Score,Inlinks,Unique Inlinks,Unique JS Inlinks,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Closest Similarity Match,No. Near Duplicates,Spelling Errors,Grammar Errors,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,Cookies,HTTP Version,URL Encoded Address,Crawl Timestamp
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--all.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,191494,191494,0,,,,,0,,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.072,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--all.pdf,2024-01-03 17:47:20
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--top-hits.pdf,application/pdf,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,76971,76971,0,,,,,0,,4,,0,0,0,0,0,0,0,0,0,0,,,,,,0.081,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--top-hits.pdf,2024-01-03 17:47:25
https://accessibility.civicactions.com/assets/img/insensitive-text-warning.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,50132,50132,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.148,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/insensitive-text-warning.png,2024-01-03 17:46:38
https://accessibility.civicactions.com/assets/img/people/civicactions.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,4350,4350,0,,,,,0,3,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.05,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/civicactions.png,2024-01-03 17:45:54
https://accessibility.civicactions.com/assets/img/people/daniel-mundra.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,56967,56967,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.048,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/daniel-mundra.jpg,2024-01-03 17:40:56
https://accessibility.civicactions.com/assets/img/people/jack-haas.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,46311,46311,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.075,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/jack-haas.jpg,2024-01-03 17:41:14
https://accessibility.civicactions.com/assets/img/people/jennifer-aube.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,31038,31038,0,,,,,0,,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.164,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/jennifer-aube.jpg,2024-01-03 17:47:42
https://accessibility.civicactions.com/assets/img/people/jonathan-bourland.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,95439,95439,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.05,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/jonathan-bourland.jpg,2024-01-03 17:41:12
https://accessibility.civicactions.com/assets/img/people/luke-fretwell.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,286468,286468,0,,,,,0,3,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.076,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/luke-fretwell.png,2024-01-03 17:45:50
https://accessibility.civicactions.com/assets/img/people/michelle-kang.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,26380,26380,0,,,,,0,4,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.058,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/michelle-kang.jpg,2024-01-03 17:47:06
https://accessibility.civicactions.com/assets/img/people/mike-gifford.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,41638,41638,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.08,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/mike-gifford.jpg,2024-01-03 17:41:13
https://accessibility.civicactions.com/assets/img/people/nira-datta.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,21227,21227,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.074,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/nira-datta.jpg,2024-01-03 17:41:19
https://accessibility.civicactions.com/assets/img/people/vanessa-luxen.jpg,image/jpeg,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,8442,8442,0,,,,,0,1,3,,0,0,0,0,0,0,0,0,0,0,,,,,,0.15,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/people/vanessa-luxen.jpg,2024-01-03 17:41:07
https://accessibility.civicactions.com/assets/img/smark-quote-fix.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,62448,62448,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.144,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/smark-quote-fix.png,2024-01-03 17:46:38
https://accessibility.civicactions.com/assets/img/smart-quote-warning.png,image/png,200,OK,Indexable,,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,,,,,67054,67054,0,,,,,0,3,2,,0,0,0,0,0,0,0,0,0,0,,,,,,0.171,"Thu, 28 Dec 2023 17:46:51 GMT",,,,1.1,https://accessibility.civicactions.com/assets/img/smart-quote-warning.png,2024-01-03 17:46:39
